tweet;correctLabel;predictedLabel
Shouldbeaninterestinggame;lang1 other lang1 lang2 lang1 lang2 lang2 lang1 lang1 lang1 lang2 lang2 other lang2 lang2 lang1 lang1 ;other other other lang2 lang2 lang2 lang2 lang2 lang1 other lang2 lang2 other lang2 lang2 other  
@fartonmyfaceplzyomommarequestedme!I'mscaredD:;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;other lang1 lang1 lang1 lang1 lang1 other ne lang1 lang1 other other ne other lang1 other  
@Deeeezzzzzznamed**;other lang2 lang1 lang1 other lang2 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 other lang1 ;other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 ne lang2  
IwasgonnastartanewdietbutIforgotIwasgonnabeeatingcakeandcarnitaseveryweekend(;lol;lang1 lang2 lang2 lang2 lang2 ne lang1 lang2 other lang1 lang2 lang2 lang2 lang1 ne lang1 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other  
@cribhood10SiKieroHomie;b;lang1 lang1 lang2 lang1 lang2 lang2 lang2 other lang1 lang1 lang2 lang1 lang2 lang2 lang1 other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@cribhood10EskeyoubewithyourfriendsInoKieromolestar;lang1 lang2 lang1 lang1 lang2 lang2 lang2 lang2 other lang2 lang1 lang2 lang1 lang2 lang2 lang1 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other  
ElTiempoaPasadoInoehpodidoolvidarte.;other lang1 lang1 lang2 lang2 lang2 lang1 lang1 lang2 lang1 lang2 lang1 lang2 lang1 lang1 other lang1 ;other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
LikejuststopMuyApenasIDejoaMisisteruseitcx;other lang2 lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang1 lang1 lang1 lang1 ;other lang2 lang2 ne other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 other  
NoposSitruthhurts.;other lang1 lang1 lang1 lang2 lang1 lang2 lang2 lang2 lang1 other lang1 1 other lang2 other lang1 ;other lang1 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 other lang2 lang1  
MinewfriendEsDeZacatecas(;;other lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang2 lang2 lang2 lang2 lang2 lang2 ne lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1  
@opablo81LolcxTambienyourscx!;lang1 lang2 lang2 lang2 lang2 lang1 lang2 lang1 other lang1 lang2 lang2 lang1 lang2 other lang1 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 other lang1  
DicenqueLosborrachosSiempreDicenlaVerda(;;1 other lang2 lang2 lang1 lang1 lang2 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang2 lang1 lang1 ;other other lang2 lang2 other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang1  
Shedidnothavemyback/.~noMames;lang1 lang2 lang2 lang2 lang1 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2  
