tweet;correctLabel;predictedLabel
shouldbeaninterestinggame;lang1 other lang1 lang2 lang1 lang2 lang2 lang1 lang1 lang1 lang2 lang2 other lang2 lang2 lang1 lang1 ;other other other lang2 lang2 lang2 lang2 lang2 lang1 other lang2 lang2 other lang2 lang2 other  
@fartonmyfaceplzyomommarequestedme!i'mscaredd:;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 1 lang1 lang1 other lang1 ;other lang1 lang1 lang1 lang1 lang1 other ne lang1 lang1 other other ne other lang1 other  
@deeeezzzzzznamed**;1 lang2 lang1 lang1 other lang2 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 other lang1 ;other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 ne lang2  
iwasgonnastartanewdietbutiforgotiwasgonnabeeatingcakeandcarnitaseveryweekend(;lol;lang2 lang2 lang2 lang2 lang2 ne lang1 lang2 other lang1 lang2 lang2 lang2 lang1 ne lang1 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other  
@cribhood10sikierohomie;b;lang2 lang1 lang2 lang1 lang2 lang2 lang2 other lang1 lang2 lang2 lang1 lang2 lang2 lang1 other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@cribhood10eskeyoubewithyourfriendsinokieromolestar;lang2 lang2 lang1 lang1 lang2 lang2 lang2 lang2 other lang2 lang1 lang2 lang1 lang2 lang2 1 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other  
eltiempoapasadoinoehpodidoolvidarte.;other lang1 lang1 lang2 lang2 lang2 lang1 lang1 lang2 lang1 lang2 lang1 lang2 lang1 lang1 other lang1 ;other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
likejuststopmuyapenasidejoamisisteruseitcx;other ne lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang1 lang1 lang1 lang1 ;other lang2 lang2 ne other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 other  
nopossitruthhurts.;other lang1 lang1 lang1 lang2 lang1 lang2 lang2 lang2 lang1 other lang2 1 other lang2 other lang1 ;other lang1 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 other lang2 lang1  
minewfriendesdezacatecas(;;other lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang2 lang2 lang2 lang2 lang2 lang2 ne lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1  
@opablo81lolcxtambienyourscx!;lang1 lang2 lang2 lang2 lang2 lang1 lang2 lang1 other lang1 lang2 lang2 lang1 lang2 other lang1 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 other lang1  
dicenquelosborrachossiempredicenlaverda(;;1 other lang2 lang2 lang1 lang2 lang2 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang2 lang1 lang1 ;other other lang2 lang2 other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang1  
shedidnothavemyback/.~nomames;lang1 lang2 lang2 lang2 lang1 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2  
yameromevavenirdejandomimomcx;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 ;lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
likeabreloshojosmija/.-;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang2 lang1 lang1 other lang2 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1  
