id	tweetString	tweetWordArray	taggedLanguages
0	Bambino :D	Bambino :D 	other other 
1	@Audreyy_torres mhmmm -.-	@Audreyy_torres mhmmm -.- 	other other other 
2	Ummm...	Ummm ... 	other other 
3	Ummm	Ummm 	other 
4	@Monimaravilla19 *jk	@Monimaravilla19 * jk 	other other other 
5	Ewwww	Ewwww 	other 
6	@Audreyy_torres whoaaaa lol	@Audreyy_torres whoaaaa lol 	other other other 
7	@sanluispotoyees .?..	@sanluispotoyees .?.. 	other other 
8	@Yessy1584G -.-	@Yessy1584G -.- 	other other 
9	@sanluispotoyees *183... -.-	@sanluispotoyees * 183 ... -.- 	other other other other other 
10	Work Tomorrow! 10 days till payday!;)	Work Tomorrow ! 10 days till payday ! ;) 	lang1 lang1 other other lang1 lang1 lang1 other other 
11	Today was fun!	Today was fun ! 	lang1 lang1 lang1 other 
12	Tired.	Tired . 	lang1 other 
13	@Damaariz_ lmfao xD	@Damaariz_ lmfao xD 	other lang1 other 
14	@Damaariz_ #stopmexicangirls2014 lol	@Damaariz_ #stopmexicangirls2014 lol 	other lang1 lang1 
15	Anyone can tell you what you Need to be... but it's up to you to choose what You Want to be:)	Anyone can tell you what you Need to be ... but it 's up to you to choose what You Want to be :) 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
16	Might not be continuing w school but I'm happy w my life:) college ain't for everybody I'm more of a hands on laborer kind of person!	Might not be continuing w school but I 'm happy w my life :) college ai n't for everybody I 'm more of a hands on laborer kind of person ! 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
17	Been there done that... lol	Been there done that ... lol 	lang1 lang1 lang1 lang1 other lang1 
18	@Monimaravilla19 MY NIGGAAA	@Monimaravilla19 MY NIGGAAA 	other lang1 other 
19	Sometimes I wish life had been easy.. but then again.. if it was.. I wouldn't be who I am today! I'd be an arrogant obnoxious asshole! :)	Sometimes I wish life had been easy .. but then again .. if it was .. I would n't be who I am today ! I 'd be an arrogant obnoxious asshole ! :) 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other 
